Text,Link,PhoneNumber,택배/배송,금전/계좌/송금,이벤트/상품,관공서/기관,인증/인증번호,긴급 알림,청첩장/초대장,명절
[무슨통운] 고객님 택배 배송 불가주소 배송불가 즉시 주소 변경부탁드립니다.[dsv.munjsiks.top/goolm ],1,0,1,0,0,0,0,0,0,0
[Web발신][주문제품 취소처리건]주문접수건은 판매자 취소처리가 불가하여 고객님께서 직접 취소 처리부탁드립니다. http://phishing.com,1,0,1,0,0,0,0,0,0,0
[배송조회] 9/9 고객주소가 잘못되었습니다 택배가 반송되었습니다 배송 주소 수정 http://www.qwer.me/FgMRD7,1,0,1,0,0,0,0,0,0,0
(롯데택배) 추석배송 물량증가로배송이 지연되고 있습니다.배송일정 확인하세요http://nene.you/Nkln8,1,0,1,0,0,0,0,0,0,0
[생활불편신고] 귀하에게 민원이 접수되어 통보드립니다.민원확인 http://bitly/2Hh9vp9,1,0,0,0,0,1,0,0,0,0
[도로공사] 박준한님차량불법단속대상 적발! 확인 후 빠른처리 요망! http365.com,1,0,0,0,0,1,0,0,0,0
☞(^0^)~★ 추석 잘 보내시고2019년 남은 시간 모두 모두행복하세요 ^.~http//www.dfsdf.qwer,1,0,0,0,0,0,0,0,0,1
조성윤님 추석명절 선물로 모바일 상품권을 보내드립니다 확인 바랍니다.http://hpbl.are/nbaBl,1,0,0,0,1,0,0,0,0,0
추석선물 도착 전 상품 무료배송! 할인쿠폰 지급완료!즉시 사용가능!확인 http://vno.kr/nengbH,1,0,1,0,1,0,0,0,0,0
추석에 찾아뵈어야 하는데 영상으로라도 인사드립니다.즐거운 한가위 보내세요!http://mnon.it/Pnti1,1,0,0,0,0,0,0,0,0,1
상품이 배송되었습니다. 자세한 내용을 보려면 아래 URL을 클릭하세요. https://www.jokki.look,1,0,1,0,1,0,0,0,0,0
[Web발신]][CJ대한통운] 등기소포 배송불가(주소불명)주소지확인 http://jeon.lloyd.com,1,0,1,0,0,0,0,0,0,0
"[택배알림]추석 선물 택배 배송지 오류, 변경 요망hittp://dmsw.tLm2xzik/",1,0,1,0,0,0,0,0,0,0
추석 선물/모바일상품권 도착! ▼14번호입력하기(클릭)▼ http://click.no.no/phishing!,1,0,0,0,1,0,0,0,0,0
[Web발신][교통민원24]법규위반 과속운전 확인 http://ljxk.cbm.ig/nope,1,0,0,0,0,1,0,0,0,0
[추석 맞이] 민생회복 지원금 지원 대상 여부 확인하기↓ http://phishing.don’t.click/,1,0,0,1,0,0,0,0,0,0
한가위이벤트에 당첨되어 선물을 보내드립니다. 당첨된선물 즉시 확인해보세요.http://fallev.net/99ujh,1,0,0,0,1,0,0,0,0,0
주석연휴 소소하지만 가족과함께 드실 수 있는 모바일 쿠폰을 보내드렸습니다.http://HJK75.com/bkjkhg,1,0,0,0,1,0,0,0,0,0
추석명절 선물로 모바일 상품권을 보내드립니다지금 바로 확인 바랍니다. http://786hbuik.com/87,1,0,0,0,1,0,0,0,0,0
[Web발신]][CJ대한통운] 등기소포 배송불가(주소불명)주소지확인 https://goo.gl/gBfkXn,1,0,1,0,0,0,0,0,0,0
☞(^0^)~★☜추석 잘 보내시고 2018년 남은시간 모두모두 행복하십시요..^.~http://woz.kr/mhgd,1,0,0,0,0,0,0,0,0,1
청첩장이 도착하였습니다 많은참석 부탁드립니다http://ti.or/uxyg,1,0,0,0,0,0,0,0,1,0
