Text,Similarity
[00통운] 고객님 택배 배송 불가주소 배송불가 즉시 주소 변경부탁드립니다.[dsv.munjsiks.top/gooim ],0.956508
1000시(PRR Aaxere)FRUSTE HO HAN!pte} ana a저리부탁드립니다. 16062.,0.9314198
[빼송조회] 9/9 고객주소가peer 택배가 반송였습니다 배송 주소 수정니어 me/FgMRD7,0.9407564
(OOM) 추석배송 물량증가로배송이 지연되고 있습니다.배송일정 확인하세요1007/0806/04/94008.,0.94168204
[생활불편신고] 귀하에게민원이 접수되어 통보드립니다.민원확인http://bitly/2Hh9vp9,0.9738589
[도로공사] 해료태님차량불법단속대상 적발!확인 후 빠른처리 요망!http365.com,0.9141155
ㅠ(^0^)~* 추석 잘 보내시고20194 남은 시간 모두 모두행복하세요 ^.~http//woz.kr/mhgd,0.9587286
'0000님 추석명절 선물로 모바일 상품권을 보내드립니다확인 바랍니다.1800700581200/06881,0.9419144
추석선물 도착 전 상품 무료배송! 할인쿠폰 지급완료!즉시 사용가능!확인 ttp//vno kr/nengbH,0.9181612
추석에 SO} OOF 하는데영상으로라도 인사드립니다.즐거운 한가위 보내세요!http//mnonit/Pntit,0.9575966
상품이 배송되었습니다. 자세한WSS 보려면 아래 URLS클릭하세요. ㅠㅠwens 여우,0.96856904
[Web#f4]][CUES 2]         S7|Az배송불가(주소불명)주소지확인 노뜨 과. Ey,0.9069082
"[택배알림]추석선물택배배송지 오류, 변경 요망hittp’//dmsw.tLm2xzik/",0.9660873
추석 선물/모바일상품권 도착!ㅠ14번호입력하기(클릭)?http//dck  hing!,0.9243189
10066발신][교통민원24]법규위반 과속운전 확인,0.9544319
[추석 맞이] 민생회복 지원금il cla of HL,0.9403811
"한가위이벤트에 당첨되어 선물을 보내드립니다. 당첨된선물 즉시 확인해보세요.http,//fallevnet/99ujh",0.9394192
주석연휴 소소하지만 가족과함께 드실 수 있는 모바일 쿠폰을 보내드렸습니다.http://HJK75/bkjkhg,0.9456386
추석명절 선물로 모바일 상품권을 보내드립니다지금 바로 확인 바랍니다.http://786hbuik/87,0.95511365
[\해발신][6:대한통운]    등기소포배송불가(주소불명)주소지확인 https://goo.gl/gBfkXn,0.95208764
ㅎ(^0^)~*ㅎ추석 잘 보내시고 2018년 남은시간 모두두 행복하십시요..^.~http://woz.kr/mhgd,0.957057
"청첩장이 도착하였습니다많은참석 부탁드립니다http://ti.or/uxyg,",0.94127417
[도로공사] 홍길동님차량단속대상 적발 htt999.com확인후 빠른처리 요망,0.9053967
사랑하는 모친께서 별세하셨으므로삼가 알려드립니다 장례식장https:/t Iy/iEtos,0.94592077
"""롯데리아""한우불고기세트사용쿠폰 2매http://tiny.cc/gool",0.9324049
모바일 돌찬치초대장을 보내드렸습니다.참석하여 주시기 바랍니다.,0.87425613
,0.7831582
COs 명절 선물로 모;바일 상품권을 보내드립니다화인 바랍니다.http/pblare/nbaB!,0.9416689
(oF Has 신청안네‘Aes 국원지원 Magara 책당드로 온라인션터 16670670006600여서지원하시기 바랍니다.,0.9555838
"[\아발신[깃급재난지원금신용,체크카드 깃급재나지원금모바일로 간단카게 신정카세요http://n 0 /covid-19",0.9316751
전염병 발생 마스크 무료로받아가세요.10007/90065302/2000900,0.9553056
코로나19확진자150명발생환자이동경로는역학조사후확인 1007/00000702/100002,0.9498796
[긴급재난자금] 상품권이 도착했읍니다 확인해주세요.https://bit.ly/3x0Mel,0.9230569
7월추가 코로나19재난지원금 wwwcoroona-19.「하신청.,0.9627476
[배송조회] 9/9 고객주소가잘못되었습니다 택배가 반송되었습니다 배송 주소 수정uuuu.me/FgMRD7,0.9646982
[00택배] 추석배송 물량증가로배송이 지연되고 있습니다.배송일정 확인하세요1007/0606.700/41008,0.9369087
[생활불편신고] 귀하에게민원이 접수되어 통보드립니다.민원확인http://bitly/2Hh9vp9,0.9738589
[도로공사] 』.탤님차량불법단속대상 적발!확인 후 빠른처리 요망!http365.com,0.8948167
님 추석덩절 선물로 모바일 상품권을 보내드립니다확인 바랍니다.http://hpbl.are/nbaBl,0.96399164
국제발신]님님해외인증 414840805708결제완료본인 아닌경우한국 소비자원 신고므이031-9520786,0.9465921
[국제방신]a해외인증:70%*USD390$ 구매Haars 경우소비자보호센터221:03137169U26,0.9336483
"8국민카드 05/30 카드대금 978,650원 정상처리 완료 귀하의사용이 아닐 경우 취소요청 바랍니다(1566-1740)방금 수신한 문자메시지는 해외에서 발송되었습니다.",0.9345612
[\606발신][*경찰청교통도로위반보고서(발송)내용확인 h http: [plzfu6k.art,0.96908045
[\해발신]지금오시면 이사비지원!BEES HP! tec2024.**m,0.9489218
로그인후 070106\는 고객센터문의~http://ukk2024.com/,0.955733
[Webi]고객님의 인증번호는 1819 입니다.http://dmm2024.com/,0.948164
엄마나 이거 주원이 폰인데나급하게80만원이 필요한데좀 보내줘,0.9395156
"고객님[관세징수과]입니다.미납관세 863,589원장기미납되었습니다.법적 강제조치예정<민원센터:1551-4076>",0.9019232
[국제발신]고객님[관세청]입니다.해외수입물품중[반입금지품목]확인!법적제재 대상이오니본인 확인시 문의바랍니다1833-3268,0.88708997
